================================================================================
ARE_TrueAccept_CE_FalseReject - BALANCED Mode - Rejection Rate 0.20 - HEAD
================================================================================

Total cases: 152

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
40         63     63         63         reject       accept        0.7246       0.9178       0.7380       0.7153      
50         4      4          4          reject       accept        0.7164       0.9809       0.7745       0.4279      
172        4      4          4          reject       accept        0.9019       6.5632       0.9356       3.9682      
291        11     11         11         reject       accept        0.8532       4.5239       0.8634       3.0253      
313        42     42         42         reject       accept        0.5635       0.9404       0.8197       0.8495      
571        68     68         68         reject       accept        0.6387       2.9187       0.7375       1.6874      
670        30     30         30         reject       accept        1.3265       10.7507      1.7063       7.0975      
842        35     35         35         reject       accept        0.7805       5.1510       1.0980       2.6736      
904        33     33         33         reject       accept        1.8254       4.2212       2.0715       4.0155      
925        56     56         56         reject       accept        0.6030       0.7952       0.8210       0.5551      
1032       51     51         51         reject       accept        1.0967       2.3107       1.1236       1.8083      
1105       4      4          4          reject       accept        1.3875       9.9507       1.4897       5.4631      
1107       60     60         60         reject       accept        0.9021       1.0456       0.9666       0.7517      
1197       21     21         21         reject       accept        0.7156       0.9823       0.7359       0.3828      
1219       5      5          5          reject       accept        0.6322       4.4799       0.7422       3.7464      
1266       36     36         36         reject       accept        0.9888       2.8600       1.2581       2.1220      
1295       16     16         16         reject       accept        0.7507       1.8035       0.9501       1.3328      
1343       50     50         50         reject       accept        0.6267       3.8039       1.0683       2.7947      
1354       23     23         23         reject       accept        0.6458       0.9589       0.9523       0.5247      
1388       38     38         38         reject       accept        0.8362       0.7980       1.3108       0.6865      
1592       61     61         61         reject       accept        0.7184       0.9510       0.7385       0.4132      
1630       54     54         54         reject       accept        1.1457       1.1649       1.1567       0.8844      
1667       67     67         67         reject       accept        0.6761       0.7595       0.7360       0.3829      
1747       35     35         35         reject       accept        0.6710       2.5028       0.7529       1.5069      
1777       56     56         56         reject       accept        0.8233       8.2911       1.0206       5.0259      
1958       38     38         38         reject       accept        0.6391       4.5659       0.8306       3.8683      
2234       62     62         62         reject       accept        1.1990       3.4769       1.4456       2.2195      
2402       59     59         59         reject       accept        0.5396       3.3206       1.3355       2.1864      
2435       34     34         34         reject       accept        0.6650       0.8075       0.7630       0.4170      
2448       30     30         30         reject       accept        1.1676       4.9047       1.3754       4.3378      
2471       63     63         63         reject       accept        3.6238       2.9710       3.6628       2.3572      
2504       60     60         60         reject       accept        1.0268       2.5975       1.1049       1.5413      
2654       47     47         47         reject       accept        0.5717       0.8934       0.7610       0.4032      
2694       54     54         54         reject       accept        2.7224       1.7746       3.1335       1.7138      
2729       39     39         39         reject       accept        0.6550       8.9616       0.9457       4.7515      
2782       62     62         62         reject       accept        1.1442       9.8947       1.1623       6.5705      
2788       41     41         41         reject       accept        1.4268       1.1842       1.6242       1.1038      
2813       68     68         68         reject       accept        0.6537       0.9047       0.7490       0.4022      
2823       63     63         63         reject       accept        0.6228       0.8758       0.8207       0.8421      
2923       11     11         11         reject       accept        0.6614       8.6863       0.7378       5.1356      
2949       2      2          2          reject       accept        0.7302       2.8823       0.8075       2.4672      
3003       35     35         35         reject       accept        0.7709       1.1198       0.9811       0.8808      
3046       12     12         12         reject       accept        0.6962       6.4639       0.7549       4.0278      
3111       48     48         48         reject       accept        0.7175       3.9237       1.0937       3.8502      
3159       23     23         23         reject       accept        1.3700       4.0883       1.5301       2.7311      
3236       13     13         13         reject       accept        0.7244       0.9712       0.7359       0.3865      
3281       6      6          6          reject       accept        2.4246       12.4049      3.3766       8.4681      
3296       12     12         12         reject       accept        1.0080       5.5411       1.0706       4.4746      
3351       4      4          4          reject       accept        0.7005       3.4126       0.7423       2.3082      
3406       62     62         62         reject       accept        0.9501       3.6000       1.3797       3.3277      
3581       57     57         57         reject       accept        0.9476       0.8282       1.1514       0.7278      
3585       65     65         65         reject       accept        0.9150       9.0641       1.1417       4.6469      
3608       34     34         34         reject       accept        0.4433       1.1758       0.8623       1.0129      
3632       54     54         54         reject       accept        0.6314       9.8888       0.7669       5.4907      
3664       65     65         65         reject       accept        0.9773       1.6591       1.2910       1.4836      
3718       38     38         38         reject       accept        0.6707       6.8016       0.8993       4.2377      
3752       0      0          0          reject       accept        1.1500       4.7165       1.4099       3.2509      
3800       49     49         49         reject       accept        1.3926       1.7760       1.4729       1.2709      
3815       25     25         25         reject       accept        0.7378       0.9969       0.7455       0.3979      
3870       57     57         57         reject       accept        0.6187       0.9327       0.8832       0.4676      
3902       67     67         67         reject       accept        0.7977       3.5563       1.1161       3.5379      
3933       58     58         58         reject       accept        1.5671       5.2010       1.5698       3.0062      
3969       47     47         47         reject       accept        0.7444       1.4979       0.7513       1.0484      
4030       7      7          7          reject       accept        0.8022       1.0197       0.8068       0.4795      
4046       11     11         11         reject       accept        0.7404       7.2627       1.0123       3.6411      
4083       59     59         59         reject       accept        0.4962       0.8657       1.2540       0.6316      
4136       59     59         59         reject       accept        1.5353       1.1555       1.6227       0.9951      
4250       37     37         37         reject       accept        0.7200       0.9707       0.7360       0.3826      
4344       27     27         27         reject       accept        3.0832       1.8428       3.1358       1.6124      
4354       50     50         50         reject       accept        0.4182       2.6927       0.7572       1.6949      
4488       18     18         18         reject       accept        1.4438       1.0863       1.5085       0.7030      
4614       24     24         24         reject       accept        1.0866       9.9491       1.4743       6.3592      
4635       21     21         21         reject       accept        1.1845       2.7093       1.3536       1.6003      
4664       28     28         28         reject       accept        0.6811       0.9663       0.7766       0.4384      
4708       9      9          9          reject       accept        1.0986       6.4466       1.1879       4.2965      
4719       12     12         12         reject       accept        0.8855       3.0430       0.9324       2.8017      
4740       13     13         13         reject       accept        0.7279       4.3625       0.7445       4.1444      
4845       61     61         61         reject       accept        1.2613       17.6137      1.4147       8.2945      
4939       28     28         28         reject       accept        1.1621       1.1798       1.4093       0.7690      
5049       12     12         12         reject       accept        0.9911       5.7907       1.3248       5.1922      
5084       34     34         34         reject       accept        0.5903       3.4697       0.7830       2.8557      
5177       36     36         36         reject       accept        0.7216       0.9899       0.7942       0.4061      
5274       21     21         21         reject       accept        3.7318       1.6750       3.9369       1.6536      
5280       49     49         49         reject       accept        0.6035       2.6999       0.7793       1.8892      
