================================================================================
ARE_TrueAccept_CE_FalseReject - WORST Mode - Rejection Rate 0.20 - HEAD
================================================================================

Total cases: 133

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
50         4      4          4          reject       accept        0.0269       0.2968       0.0442       0.0056      
112        27     27         27         reject       accept        1.7704       1.2524       2.4545       1.2464      
291        11     11         11         reject       accept        0.1369       3.0248       0.1589       2.1402      
302        40     40         40         reject       accept        0.0080       0.6440       0.0131       0.4760      
340        9      9          9          reject       accept        5.6921       2.5573       6.9163       2.1169      
598        1      1          1          reject       accept        0.0459       1.3700       0.0563       0.8871      
670        30     30         30         reject       accept        1.2364       7.1883       1.2473       5.4869      
925        56     56         56         reject       accept        0.0995       0.2406       0.1042       0.1102      
963        51     51         51         reject       accept        0.0152       0.5950       0.0258       0.5069      
1070       41     41         41         reject       accept        0.0167       0.3630       0.0275       0.2213      
1094       8      8          8          reject       accept        0.0341       0.8134       0.0630       0.6843      
1175       51     51         51         reject       accept        0.0326       1.0935       0.0454       0.7021      
1253       64     64         64         reject       accept        0.1105       0.7702       0.1579       0.4173      
1305       68     68         68         reject       accept        0.0204       0.3580       0.0278       0.0343      
1354       23     23         23         reject       accept        0.1802       0.2902       0.2737       0.0852      
1664       12     12         12         reject       accept        0.0341       4.2705       0.0526       2.7142      
1858       17     17         17         reject       accept        0.0662       0.3525       0.0844       0.0959      
2196       49     49         49         reject       accept        0.0578       0.7098       0.0934       0.4504      
2282       59     59         59         reject       accept        0.1041       4.4994       0.1705       4.2732      
2292       40     40         40         reject       accept        0.1112       2.8515       0.1169       1.5751      
2303       47     47         47         reject       accept        0.0436       2.3039       0.0551       1.2569      
2327       26     26         26         reject       accept        0.0156       0.4315       0.0269       0.3022      
2370       64     64         64         reject       accept        0.1958       1.3824       0.2638       0.8976      
2402       59     59         59         reject       accept        0.4992       2.2203       0.7685       1.4508      
2409       32     32         32         reject       accept        0.0836       0.3477       0.0865       0.1180      
2471       63     63         63         reject       accept        3.3778       1.9865       3.7733       1.5912      
2694       54     54         54         reject       accept        2.5375       1.1866       3.0899       1.0624      
2782       62     62         62         reject       accept        0.3366       6.6160       0.5448       5.0538      
2882       58     58         58         reject       accept        0.0162       0.2848       0.0264       0.1694      
2901       4      4          4          reject       accept        0.0237       5.0328       0.0347       3.0668      
2928       5      5          5          reject       accept        0.1280       1.6642       0.1634       0.9936      
2943       24     24         24         reject       accept        0.0241       0.2957       0.0616       0.0546      
