================================================================================
ARE_TrueReject_CE_FalseAccept - BALANCED Mode - Rejection Rate 0.60 - TAIL
================================================================================

Total cases: 282

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
10         71     12         12         accept       reject        1.8751       6.0460       1.8743       12.6162     
11         75     72         72         accept       reject        102.9264     77.4892      88.1230      87.2554     
22         75     21         21         accept       reject        16.6942      17.1853      15.7820      18.4217     
43         73     30         30         accept       reject        1.8758       1.8909       1.8731       2.2838      
73         91     18         18         accept       reject        1.8790       4.2957       1.8449       11.0645     
86         78     11         11         accept       reject        1.8807       5.0196       1.8469       14.7926     
123        92     70         70         accept       reject        83.6163      51.0068      72.7133      70.0773     
162        87     20         20         accept       reject        1.8784       2.4749       1.8352       9.9849      
173        83     15         15         accept       reject        1.8786       1.7635       1.8348       3.0465      
194        94     16         16         accept       reject        1.8819       29.0096      1.8496       33.0392     
211        98     11         11         accept       reject        1.8820       5.5097       1.8391       5.6265      
229        71     12         12         accept       reject        1.8799       8.9803       1.8408       13.6043     
339        95     73         73         accept       reject        90.3370      80.1977      81.9672      81.2767     
366        89     45         45         accept       reject        22.7844      14.2022      20.8543      26.2331     
411        96     47         47         accept       reject        1.8819       1.8554       1.8369       2.4010      
474        73     95         95         accept       reject        88.2012      56.8282      78.3239      64.6770     
497        77     4          4          accept       reject        1.8766       1.5594       1.8364       4.1961      
603        80     16         16         accept       reject        1.8821       3.7176       1.8352       7.7925      
634        83     0          0          accept       reject        15.4380      21.7292      15.4185      27.4382     
727        75     3          3          accept       reject        1.8780       3.8555       1.8412       7.1288      
778        81     37         37         accept       reject        37.0479      15.5937      35.2563      15.6596     
798        70     1          1          accept       reject        28.8345      26.4557      28.2911      37.6630     
855        98     23         23         accept       reject        23.0851      18.1546      23.0256      33.9802     
859        93     4          4          accept       reject        23.6916      22.0669      23.5791      30.0200     
960        74     4          4          accept       reject        1.8818       3.2782       1.8376       5.7292      
1024       71     23         23         accept       reject        1.8820       1.9140       1.8439       2.1082      
1036       81     13         13         accept       reject        1.8809       20.2675      1.8621       23.3700     
1083       90     12         12         accept       reject        1.8814       9.2839       1.8359       12.4852     
1131       91     73         30         accept       reject        89.0522      43.5720      81.0870      50.4899     
1156       93     77         77         accept       reject        73.1998      50.9113      62.9992      61.7009     
1171       83     0          0          accept       reject        1.8452       1.7625       1.8348       2.7677      
1215       88     10         10         accept       reject        1.8694       1.6808       1.8409       2.2411      
1278       92     70         70         accept       reject        56.2706      53.7163      48.8614      60.3935     
1340       99     18         18         accept       reject        47.7538      31.3890      42.4663      54.2843     
1363       81     16         16         accept       reject        1.8775       5.1455       1.8375       8.9131      
1477       76     30         30         accept       reject        1.8820       2.1267       1.8359       4.9338      
1494       70     0          0          accept       reject        1.8823       1.9151       1.8350       2.1913      
1602       74     55         65         accept       reject        23.7018      13.0818      21.8682      17.8173     
1663       92     18         18         accept       reject        1.8794       1.8017       1.8352       2.0358      
1670       78     12         12         accept       reject        1.8791       5.6887       1.8610       8.1785      
1723       72     36         36         accept       reject        1.8436       3.2231       1.8359       5.9174      
1751       99     78         78         accept       reject        60.6101      38.7173      52.6806      43.3544     
1756       90     27         27         accept       reject        1.8522       3.5528       1.8480       8.4858      
1836       80     76         76         accept       reject        75.5289      40.9328      65.1683      43.5435     
1864       89     17         17         accept       reject        1.8799       3.0982       1.8378       3.8337      
1873       76     17         17         accept       reject        1.8823       2.5756       1.8355       4.3648      
1912       80     4          4          accept       reject        1.8679       3.3775       1.8477       6.8377      
1921       88     26         43         accept       reject        20.6234      9.4318       19.2438      10.5100     
1976       89     8          8          accept       reject        1.8599       3.4405       1.8369       7.5110      
1988       95     30         30         accept       reject        35.0961      19.5000      32.8193      26.3428     
2014       77     22         22         accept       reject        1.8791       11.4777      1.8507       18.6910     
2025       81     16         16         accept       reject        21.3132      40.0605      19.6931      42.9701     
2056       77     18         18         accept       reject        1.8816       7.2032       1.8362       10.0614     
2069       83     10         10         accept       reject        1.8820       4.7279       1.8374       9.1392      
2076       73     10         10         accept       reject        1.8823       1.9093       1.8349       2.2582      
2081       84     20         20         accept       reject        1.8814       7.5202       1.8367       8.4392      
2104       72     24         78         accept       reject        35.7161      46.3109      31.7703      47.4010     
2138       95     69         69         accept       reject        78.3757      42.8881      75.0358      74.9871     
2172       99     78         78         accept       reject        118.0970     79.2688      100.4122     90.8893     
2186       73     5          5          accept       reject        1.8601       1.5550       1.8579       3.6902      
2195       87     16         16         accept       reject        1.8823       21.5777      1.8359       23.1451     
2197       91     84         84         accept       reject        90.5035      65.7343      79.4735      73.2817     
2208       73     30         30         accept       reject        29.1477      19.1086      26.3924      37.3382     
2215       74     18         18         accept       reject        16.5008      25.4891      15.6117      32.2615     
2218       91     73         73         accept       reject        92.4494      62.2500      80.1637      72.5769     
2243       82     6          6          accept       reject        1.8821       1.9124       1.8363       2.3435      
2254       84     5          5          accept       reject        1.8823       1.8541       1.8355       2.4129      
2326       95     30         30         accept       reject        1.8820       2.5368       1.8507       3.7975      
2354       69     23         23         accept       reject        1.8779       3.2416       1.8542       4.1442      
2468       72     3          3          accept       reject        1.8715       1.8957       1.8348       3.4085      
2501       76     69         69         accept       reject        33.4187      27.3544      32.2793      46.7195     
2530       70     1          1          accept       reject        1.8821       22.7967      1.8364       28.0376     
2555       93     4          4          accept       reject        1.8731       3.6467       1.8549       11.0160     
2609       81     13         13         accept       reject        1.8790       7.9027       1.8566       12.3562     
2651       87     16         16         accept       reject        1.8823       13.4689      1.8347       16.2444     
2666       92     33         33         accept       reject        23.2497      15.3769      22.7837      25.0748     
2669       75     21         21         accept       reject        22.3539      28.8003      20.6256      31.3736     
2689       88     16         16         accept       reject        1.8588       1.5680       1.8349       2.5879      
2706       75     3          3          accept       reject        1.8788       1.8601       1.8538       3.8734      
2716       86     9          9          accept       reject        1.8754       10.7053      1.8366       15.5232     
2724       90     73         73         accept       reject        58.7231      51.4840      55.7789      68.3265     
2841       74     27         27         accept       reject        1.8657       4.5013       1.8534       8.0829      
2842       97     34         34         accept       reject        1.8684       5.8347       1.8404       6.8613      
2872       99     27         27         accept       reject        1.8821       1.7948       1.8410       2.4824      
2896       70     10         92         accept       reject        28.8153      20.7528      27.5629      43.6459     
2918       83     7          7          accept       reject        1.8802       15.6022      1.8533       22.1569     
3017       90     68         77         accept       reject        38.0591      28.6339      38.0129      44.9842     
3036       84     19         19         accept       reject        1.8799       2.5196       1.8665       4.5005      
3048       75     24         24         accept       reject        14.1031      33.5414      13.6961      33.6523     
3144       73     30         30         accept       reject        16.0160      11.4237      15.8048      30.7836     
3177       89     6          6          accept       reject        1.8805       5.9546       1.8349       6.2080      
3194       72     13         13         accept       reject        36.9815      30.2436      33.8712      50.5327     
3213       73     30         30         accept       reject        33.9106      21.8182      33.6583      35.9401     
3331       70     10         10         accept       reject        27.2740      33.7462      24.6118      46.0108     
3377       90     16         16         accept       reject        1.8746       1.0862       1.8642       1.7236      
3487       97     43         43         accept       reject        45.0083      32.4537      40.4776      34.3351     
3625       92     70         70         accept       reject        109.9520     63.6284      93.6880      84.2931     
3642       72     2          2          accept       reject        1.8820       1.3989       1.8349       1.6099      
3650       86     20         39         accept       reject        24.8768      17.3302      22.7714      19.1893     
3661       95     30         30         accept       reject        1.8821       2.9054       1.8472       4.5315      
3666       71     12         12         accept       reject        1.8749       12.6998      1.8726       21.9929     
3669       85     5          5          accept       reject        15.3853      8.7910       14.9198      15.0519     
3767       93     73         73         accept       reject        82.4313      63.0036      70.8254      72.2802     
3840       89     81         81         accept       reject        77.8969      63.2404      71.9678      66.7478     
3845       72     4          4          accept       reject        1.8811       1.8568       1.8372       2.2750      
3878       90     12         12         accept       reject        1.8754       17.7869      1.8395       23.6575     
3915       84     5          5          accept       reject        1.8816       2.5001       1.8352       8.4864      
4044       80     3          3          accept       reject        1.8649       5.1124       1.8350       10.3116     
4095       81     13         13         accept       reject        1.8820       4.6898       1.8525       4.9739      
4112       92     32         57         accept       reject        27.6067      14.0037      27.0337      16.3922     
4114       86     22         22         accept       reject        1.8667       9.1141       1.8356       10.5214     
4196       81     5          5          accept       reject        1.8805       3.9931       1.8363       7.3277      
4241       77     7          7          accept       reject        15.6654      16.4726      14.9238      25.9998     
4292       91     27         27         accept       reject        1.8467       2.1558       1.8356       3.8337      
4342       75     72         72         accept       reject        100.5347     49.3104      87.2179      87.0629     
4470       97     66         66         accept       reject        41.5758      23.4580      37.4756      33.3241     
4526       98     35         35         accept       reject        1.8758       2.5098       1.8357       2.9671      
4555       78     75         42         accept       reject        45.9850      25.2779      42.1181      48.7466     
4655       92     16         16         accept       reject        1.8707       6.4766       1.8366       8.2232      
4678       81     13         13         accept       reject        1.8823       2.0115       1.8347       4.0189      
4679       80     4          4          accept       reject        1.8658       4.1546       1.8414       10.4076     
4721       93     77         77         accept       reject        73.1828      39.3246      68.7832      69.0193     
4806       87     11         11         accept       reject        13.9998      16.3907      13.5476      19.8499     
4819       98     2          2          accept       reject        1.8692       2.1953       1.8416       2.7128      
4820       74     50         50         accept       reject        16.1324      18.7827      15.7034      25.2255     
4837       86     40         40         accept       reject        35.3201      25.0883      31.4741      39.9844     
4924       86     28         87         accept       reject        22.8376      37.9330      21.7353      43.8752     
4933       94     16         16         accept       reject        1.8761       30.8854      1.8348       30.8902     
4936       79     7          7          accept       reject        1.8433       5.5833       1.8387       11.2404     
4950       81     13         13         accept       reject        1.8822       2.4768       1.8391       6.0827      
5044       88     66         66         accept       reject        11.8335      15.1693      11.7628      19.1163     
5048       86     22         25         accept       reject        16.8142      8.7390       16.4048      11.6945     
5097       91     84         84         accept       reject        100.9245     64.9006      87.3915      82.0357     
5141       89     9          78         accept       reject        36.6146      30.1410      34.0552      46.7461     
5215       94     40         40         accept       reject        28.0292      34.7703      25.4597      34.8938     
5276       78     1          1          accept       reject        1.8822       2.7090       1.8352       6.2069      
5286       85     11         40         accept       reject        25.3459      18.2465      23.6915      22.6651     
5307       78     80         80         accept       reject        62.8878      49.1937      54.9427      57.6090     
5377       98     2          2          accept       reject        1.8741       2.7111       1.8388       8.1032      
5379       76     49         49         accept       reject        34.3015      24.3676      31.4781      35.4934     
5462       93     73         73         accept       reject        93.5870      86.2240      86.0910      86.6851     
5485       83     70         82         accept       reject        62.4908      35.2190      58.2312      62.7114     
5526       80     69         69         accept       reject        79.4405      42.9894      78.1413      60.1509     
5584       70     54         54         accept       reject        14.4570      31.9761      13.9233      39.4979     
5605       93     3          4          accept       reject        37.0018      15.5682      35.2896      17.2379     
5631       81     5          5          accept       reject        1.8743       11.6839      1.8607       18.6933     
5637       81     12         12         accept       reject        1.8798       1.1837       1.8489       3.0061      
5739       88     4          4          accept       reject        1.8748       7.9657       1.8440       9.5369      
5772       76     39         39         accept       reject        1.8823       1.9136       1.8347       2.2776      
5793       73     10         10         accept       reject        1.8753       12.2826      1.8611       21.3837     
5813       81     13         13         accept       reject        1.8803       1.8692       1.8431       2.8220      
5817       81     37         37         accept       reject        13.7256      17.2492      13.3255      28.9686     
5848       70     1          1          accept       reject        23.3633      46.1062      22.2380      47.3741     
5864       71     60         60         accept       reject        1.8821       3.3416       1.8451       3.8644      
5930       99     22         22         accept       reject        1.8820       3.6335       1.8356       6.2651      
5937       90     13         13         accept       reject        1.8584       3.4545       1.8451       6.2337      
5957       86     5          5          accept       reject        1.8815       5.6237       1.8424       18.0851     
5973       91     27         27         accept       reject        12.5678      5.9015       12.4592      11.2600     
6036       93     73         73         accept       reject        70.4935      53.4285      65.6364      70.7270     
6060       98     35         35         accept       reject        33.1484      33.2696      29.5913      33.5082     
6067       74     26         26         accept       reject        1.8711       4.5286       1.8568       16.9864     
6074       87     5          5          accept       reject        1.8823       7.0089       1.8349       7.5919      
6135       77     51         51         accept       reject        1.8766       4.2387       1.8408       6.3720      
6185       80     84         84         accept       reject        61.7314      34.0355      58.5919      59.3685     
6205       95     30         30         accept       reject        1.8820       1.9194       1.8539       2.0293      
6311       72     3          3          accept       reject        1.8519       9.5572       1.8418       13.5579     
6329       83     16         16         accept       reject        1.8781       1.7689       1.8357       2.7781      
6330       74     4          4          accept       reject        1.8749       14.1708      1.8564       18.7327     
6379       89     17         17         accept       reject        1.8808       6.9251       1.8391       11.5187     
6380       83     92         92         accept       reject        61.0278      51.1924      53.3767      55.4569     
6447       97     2          2          accept       reject        1.8803       1.4468       1.8350       3.0824      
6503       84     10         25         accept       reject        27.3077      20.2868      24.7521      25.0919     
6568       84     10         10         accept       reject        1.8611       1.8838       1.8357       3.6742      
6570       78     40         40         accept       reject        33.2520      24.2431      29.6303      24.3393     
6587       92     70         70         accept       reject        79.0819      57.3027      77.6199      58.8012     
6625       77     7          7          accept       reject        1.8788       7.5176       1.8361       9.4389      
6684       76     12         12         accept       reject        17.9232      22.9350      17.2377      37.6635     
6821       70     1          1          accept       reject        25.1235      45.2280      23.4211      47.1337     
6838       70     73         73         accept       reject        62.0371      47.3544      56.1333      71.3119     
6897       92     70         70         accept       reject        62.2459      46.6658      59.6371      55.8949     
6928       82     6          6          accept       reject        1.8801       1.9069       1.8489       2.3158      
6944       92     0          0          accept       reject        18.0447      25.7718      17.4222      32.2241     
7100       71     60         60         accept       reject        1.8819       4.6586       1.8497       4.7877      
7186       96     33         33         accept       reject        1.8630       1.8741       1.8352       1.9591      
7226       75     7          7          accept       reject        11.7061      21.5395      11.6341      32.9290     
7255       93     18         18         accept       reject        1.8469       1.0819       1.8353       1.3556      
7272       93     4          4          accept       reject        44.0076      30.9566      39.2808      51.8390     
7297       78     4          4          accept       reject        1.8821       1.9695       1.8412       7.1710      
7300       93     69         69         accept       reject        78.3380      47.2142      75.2986      78.0967     
7302       95     84         84         accept       reject        60.8339      32.3514      55.6634      47.6931     
7316       71     49         60         accept       reject        13.4629      8.5620       13.2092      8.8973      
7429       70     68         68         accept       reject        1.8816       1.8115       1.8360       3.5889      
7512       81     13         13         accept       reject        53.8071      31.1349      46.7915      50.1493     
7534       96     47         47         accept       reject        1.8819       1.1863       1.8499       1.7732      
7550       86     5          5          accept       reject        1.8819       1.9261       1.8441       4.4468      
7556       92     83         83         accept       reject        114.4516     63.7497      97.4200      89.4497     
7557       80     44         44         accept       reject        1.8782       3.6736       1.8615       10.0107     
7581       87     16         16         accept       reject        1.8818       1.8952       1.8381       2.3987      
7592       78     22         22         accept       reject        20.9303      11.7115      19.4194      12.8094     
7615       80     35         35         accept       reject        29.6971      28.2050      28.1690      32.8648     
7630       91     27         27         accept       reject        1.8820       1.9153       1.8352       5.8177      
7660       89     15         15         accept       reject        1.8815       14.2088      1.8348       23.6203     
7688       91     27         27         accept       reject        1.8541       1.8137       1.8426       4.6005      
7692       72     95         95         accept       reject        88.8960      63.0159      77.3596      64.9784     
7715       72     5          75         accept       reject        53.8284      31.0141      51.3924      41.4816     
7723       75     14         14         accept       reject        1.8822       21.4876      1.8399       26.4877     
7738       85     22         22         accept       reject        15.5777      15.2687      15.1720      25.0345     
7760       80     18         18         accept       reject        34.0087      21.5452      33.6277      45.2553     
7771       83     0          0          accept       reject        1.8822       3.8192       1.8419       4.0980      
7851       81     13         13         accept       reject        37.0563      43.0015      33.3259      45.9286     
7873       88     11         11         accept       reject        1.8704       6.0707       1.8348       8.8104      
7883       86     16         16         accept       reject        1.8818       10.6044      1.8404       11.8483     
7886       76     69         69         accept       reject        100.3049     79.8787      99.9401      92.0691     
7914       75     44         44         accept       reject        20.4758      38.0073      19.7453      46.9721     
7963       73     30         30         accept       reject        27.6115      14.4960      24.9296      17.3596     
7986       92     62         54         accept       reject        16.9382      8.5217       16.2205      8.9979      
8042       78     4          4          accept       reject        36.7578      21.3059      32.7004      40.6066     
8106       70     11         11         accept       reject        17.9730      22.6303      16.9652      32.7156     
8117       74     72         72         accept       reject        72.4378      47.8203      67.2415      54.0150     
8125       91     32         32         accept       reject        35.0419      22.7652      31.3983      48.5113     
8151       93     10         10         accept       reject        1.8812       2.4399       1.8437       7.5929      
8169       89     90         90         accept       reject        95.4058      79.0043      86.7705      86.7683     
8204       92     70         70         accept       reject        81.7413      45.6152      72.1483      67.9698     
8258       89     2          81         accept       reject        21.5028      51.5110      21.2140      57.6362     
8284       81     13         13         accept       reject        1.8819       1.8504       1.8500       3.9244      
8286       84     24         24         accept       reject        22.1488      13.4088      20.6128      22.0004     
8293       74     4          4          accept       reject        1.8720       3.5522       1.8379       6.8886      
