================================================================================
ARE_TrueReject_CE_FalseAccept - BALANCED Mode - Rejection Rate 0.80 - HEAD
================================================================================

Total cases: 114

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
74         32     76         76         accept       reject        214.2148     155.0525     193.8001     162.5743    
87         33     3          3          accept       reject        50.2179      35.1311      49.5621      70.4697     
285        66     43         97         accept       reject        39.4001      73.2794      39.0959      80.3357     
336        45     73         73         accept       reject        215.7567     162.8961     195.1491     163.3620    
379        11     79         79         accept       reject        100.2106     99.5884      96.7478      115.5352    
472        14     65         65         accept       reject        72.5662      42.5641      68.8762      65.5768     
488        67     32         73         accept       reject        69.5382      94.1603      65.6667      114.6433    
781        64     3          3          accept       reject        3.4242       2.9103       3.4234       7.1981      
803        58     89         89         accept       reject        155.9568     127.4043     142.1975     130.5333    
974        36     69         69         accept       reject        146.1049     90.4939      133.5220     98.9274     
1022       36     4          4          accept       reject        3.4240       3.6613       3.4239       4.0526      
1135       9      69         69         accept       reject        85.5941      64.2926      80.2989      85.6552     
1309       18     79         6          accept       reject        103.0093     60.5654      95.7739      60.7166     
1400       18     27         27         accept       reject        3.4239       2.4084       3.4236       4.1237      
1444       46     11         11         accept       reject        3.4238       2.3037       3.4234       3.9998      
1493       31     4          4          accept       reject        3.4239       3.9152       3.4235       11.7178     
1571       32     26         26         accept       reject        3.4243       3.7503       3.4235       3.8842      
1768       26     67         67         accept       reject        62.8548      42.4505      61.5196      60.3008     
1930       22     28         28         accept       reject        56.1185      40.3878      54.2776      89.7250     
2008       67     69         69         accept       reject        210.2963     151.1921     190.6239     172.5484    
2043       25     84         84         accept       reject        71.3046      91.6613      69.9152      107.1428    
2192       54     14         14         accept       reject        3.4242       3.6852       3.4236       4.9263      
2265       66     18         18         accept       reject        39.8871      47.5082      38.8973      71.1780     
2294       61     22         22         accept       reject        3.4240       3.0433       3.4239       6.5675      
2345       65     84         84         accept       reject        142.9366     94.3817      133.8495     131.8886    
2359       66     64         64         accept       reject        62.9446      42.0970      59.3534      48.8143     
2387       61     10         10         accept       reject        3.4235       6.8160       3.4234       23.8167     
2450       30     73         73         accept       reject        142.7917     150.4171     132.8869     154.2520    
2883       50     48         51         accept       reject        51.1608      31.6798      48.9664      35.1520     
2927       67     99         99         accept       reject        80.4804      82.7548      76.5854      91.0272     
3234       7      77         77         accept       reject        153.4071     121.0413     141.8601     134.5461    
3313       35     2          2          accept       reject        3.4242       2.8896       3.4234       6.6076      
3379       42     4          4          accept       reject        3.4241       3.2658       3.4239       10.3707     
3397       2      62         98         accept       reject        60.2661      64.7640      58.0067      81.3050     
3634       50     2          2          accept       reject        3.4241       3.7427       3.4235       4.0441      
3662       45     1          1          accept       reject        90.7221      64.0567      84.4383      105.7219    
3749       64     19         19         accept       reject        38.7813      21.7001      38.6417      30.1887     
3801       57     0          0          accept       reject        56.6024      76.7528      53.9333      78.1271     
3860       67     73         73         accept       reject        193.2329     172.2410     180.2281     175.3268    
3872       39     73         73         accept       reject        160.5382     108.5974     147.0626     142.6824    
