================================================================================
ARE_TrueReject_CE_FalseAccept - WORST Mode - Rejection Rate 0.20 - HEAD
================================================================================

Total cases: 549

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
3          51     16         16         accept       reject        0.1564       3.3395       0.1378       4.2900      
23         29     12         12         accept       reject        0.3834       0.9129       0.3826       3.0374      
38         25     2          2          accept       reject        0.0086       0.4655       -0.0037      1.4047      
70         66     8          8          accept       reject        1.5290       0.5595       1.1250       0.5727      
72         67     2          2          accept       reject        0.0109       0.2910       -0.0041      0.4209      
84         29     1          1          accept       reject        0.0129       0.6682       -0.0026      1.8062      
87         33     3          3          accept       reject        9.7020       4.9145       7.3295       5.7387      
99         35     29         29         accept       reject        0.0889       3.4370       0.0849       4.0277      
104        43     29         29         accept       reject        0.0134       0.2989       0.0047       0.3556      
134        33     3          42         accept       reject        0.0079       0.2808       0.0020       0.4851      
192        45     10         10         accept       reject        3.8062       2.5327       3.4627       4.3737      
197        63     42         42         accept       reject        0.0124       0.5205       0.0049       0.6312      
206        44     2          2          accept       reject        0.1291       0.2364       0.0960       0.4257      
221        27     68         68         accept       reject        0.0127       0.2604       0.0044       0.2706      
314        43     3          3          accept       reject        0.0129       0.5033       -0.0050      0.6168      
329        7      14         14         accept       reject        0.0862       0.4384       0.0661       0.7303      
345        66     43         43         accept       reject        0.0122       0.8281       -0.0054      0.9102      
349        10     22         25         accept       reject        0.0067       0.5753       0.0054       0.6511      
352        37     49         1          accept       reject        0.5485       0.6095       0.4654       0.8634      
359        66     42         42         accept       reject        6.6570       5.9702       5.4765       6.7250      
390        40     3          25         accept       reject        0.4829       0.3200       0.4708       0.8910      
415        66     42         42         accept       reject        0.2571       0.7945       0.2494       1.9955      
444        26     6          6          accept       reject        0.0184       1.3941       0.0082       1.4791      
447        22     10         10         accept       reject        0.0159       1.4577       0.0106       1.6177      
448        55     4          4          accept       reject        0.0129       0.7321       -0.0002      0.9143      
476        8      5          5          accept       reject        12.9283      6.1602       12.2563      8.3434      
504        2      11         11         accept       reject        0.0296       1.3996       0.0166       1.9904      
513        67     32         32         accept       reject        7.8263       3.5130       7.7507       7.9449      
528        37     17         17         accept       reject        0.0119       0.7384       0.0110       0.8512      
535        6      7          7          accept       reject        0.8508       1.6238       0.6494       1.9810      
572        1      10         10         accept       reject        0.0129       1.2145       -0.0054      2.4356      
576        65     6          64         accept       reject        2.1165       3.0342       1.8153       3.6461      
593        56     6          6          accept       reject        0.0781       1.6126       0.0535       1.6268      
688        37     49         49         accept       reject        0.0130       1.0769       -0.0026      1.1186      
689        32     4          4          accept       reject        0.2026       0.2218       0.1522       0.2647      
709        29     72         72         accept       reject        16.2849      6.9242       14.4268      7.8993      
739        32     4          4          accept       reject        0.8769       1.5374       0.6614       1.8154      
758        67     32         32         accept       reject        0.3253       0.9624       0.2810       2.4811      
781        64     3          3          accept       reject        0.0130       0.2978       -0.0057      0.3221      
782        31     34         34         accept       reject        0.0114       0.7080       -0.0054      1.1716      
820        36     35         35         accept       reject        0.0077       1.3120       -0.0042      1.4335      
824        32     5          67         accept       reject        2.1932       1.5118       1.7873       1.8466      
825        54     2          2          accept       reject        0.0128       0.3904       -0.0017      1.0709      
829        25     5          5          accept       reject        0.0129       0.3764       -0.0041      0.4267      
839        39     5          5          accept       reject        0.0129       0.2778       -0.0036      0.4299      
846        32     46         46         accept       reject        0.0718       0.5459       0.0546       0.6516      
866        46     36         36         accept       reject        0.0289       0.8766       0.0164       0.9499      
870        22     12         12         accept       reject        0.1656       0.7444       0.1428       2.6399      
899        55     51         51         accept       reject        0.0129       3.6177       -0.0023      4.0569      
902        15     34         34         accept       reject        0.0117       0.2263       -0.0052      0.3220      
951        45     67         67         accept       reject        0.0086       0.2669       0.0042       0.2772      
1016       37     12         12         accept       reject        0.0347       0.1522       0.0347       0.2114      
1049       26     1          1          accept       reject        0.1627       2.1119       0.1143       3.2214      
1052       39     4          67         accept       reject        2.1218       2.2251       1.9590       3.0033      
1061       29     11         66         accept       reject        1.1523       0.7209       0.9969       1.7907      
1072       26     14         14         accept       reject        0.7198       0.8765       0.6804       1.7160      
1084       42     4          4          accept       reject        0.0130       0.2510       -0.0039      0.2579      
1118       55     22         22         accept       reject        0.0127       0.5404       -0.0021      0.8220      
1138       51     0          62         accept       reject        12.2213      4.8697       11.6011      6.4262      
1154       64     19         19         accept       reject        0.0120       0.2173       -0.0024      0.4765      
1165       44     10         10         accept       reject        0.0260       1.1907       0.0206       2.1898      
1172       16     10         10         accept       reject        0.0127       0.8884       -0.0043      1.4993      
1226       31     12         12         accept       reject        0.0112       0.4801       -0.0052      0.6831      
1280       28     15         15         accept       reject        0.9873       1.5419       0.8913       3.9436      
1283       50     18         18         accept       reject        0.9142       2.4884       0.7563       3.4991      
