================================================================================
ARE_TrueReject_CE_FalseAccept - WORST Mode - Rejection Rate 0.60 - TAIL
================================================================================

Total cases: 492

Sample     True   CE Pred    ARE Pred   CE Decision  ARE Decision  CE MaxRew    ARE MaxRew   CE Thresh    ARE Thresh  
--------------------------------------------------------------------------------
11         75     72         72         accept       reject        58.2243      50.0294      46.8811      56.2193     
22         75     21         21         accept       reject        9.4437       11.0954      7.6333       11.9348     
35         73     64         64         accept       reject        0.8035       5.8178       0.7919       13.5984     
56         71     49         49         accept       reject        9.5769       8.3028       8.7961       17.8139     
123        92     70         70         accept       reject        47.3007      32.9315      38.5208      45.1677     
151        77     65         65         accept       reject        4.1561       8.5463       3.7375       15.1751     
162        87     20         20         accept       reject        0.0671       1.5979       0.0666       6.5070      
169        83     61         61         accept       reject        6.3210       9.3323       5.1569       12.0923     
173        83     15         15         accept       reject        0.0671       1.1386       0.0664       2.0431      
187        95     30         30         accept       reject        0.5917       4.2944       0.5400       5.8230      
209        93     63         63         accept       reject        0.7890       4.0921       0.7488       13.3064     
265        91     21         98         accept       reject        11.5206      21.4686      10.8316      25.5638     
266        70     51         51         accept       reject        3.3114       11.0553      3.1568       16.0250     
273        83     0          0          accept       reject        0.0672       0.9613       0.0664       0.9712      
281        84     5          5          accept       reject        1.6835       4.6360       1.4139       10.4679     
283        89     48         48         accept       reject        1.1262       6.5527       1.1200       10.7781     
316        93     32         32         accept       reject        2.4426       5.5483       2.0276       14.7250     
321        89     17         17         accept       reject        6.5768       18.9029      5.4180       20.9865     
339        95     73         73         accept       reject        51.1026      51.7780      43.5414      52.3729     
356        96     59         63         accept       reject        2.1604       1.8750       1.8428       3.4715      
366        89     45         45         accept       reject        12.8889      9.1694       10.3852      16.9603     
409        89     66         66         accept       reject        0.8127       5.9007       0.7647       9.4216      
421        81     13         13         accept       reject        8.2020       13.9878      7.2754       21.4092     
474        73     95         95         accept       reject        49.8944      36.6900      41.5648      41.6934     
485        99     18         18         accept       reject        4.2761       2.5701       4.0035       3.4275      
486        79     14         44         accept       reject        4.0537       3.1925       3.3665       4.7340      
502        90     35         35         accept       reject        4.4845       6.5834       4.4352       14.9567     
545        93     27         27         accept       reject        1.6539       4.3731       1.6033       11.1925     
603        80     16         16         accept       reject        0.0672       2.4002       0.0666       5.0965      
611        82     14         14         accept       reject        5.3423       11.0200      4.3555       11.9973     
631        96     33         33         accept       reject        0.6214       3.1697       0.5899       4.0938      
634        83     0          0          accept       reject        8.7331       14.0290      7.4361       17.7356     
639        84     13         5          accept       reject        5.4003       8.9639       4.9551       16.9936     
652        89     17         17         accept       reject        8.0201       23.3340      7.4541       28.9114     
672        83     0          0          accept       reject        2.6705       7.3678       2.2057       9.7813      
